ts_s,value
0.04,300000
0.141,310000
0.242,320000
0.342,330000
0.442,340000
0.543,350000
0.643,360000
0.744,370000
0.845,380000
0.945,390000
1.046,400000
1.146,410000
1.247,420000
1.347,430000
1.448,440000
1.548,450000
1.649,460000
1.749,470000
1.85,480000
1.95,490000
2.051,500000
2.151,510000
2.252,520000
2.352,530000
2.453,540000
2.554,550000
2.654,560000
2.755,570000
2.856,580000
2.957,590000
3.058,600000
3.159,610000
3.26,620000
3.36,630000
3.441,640000
3.542,650000
3.643,660000
3.744,670000
3.845,680000
3.946,690000
4.047,700000
4.147,710000
4.249,720000
4.35,730000
4.45,740000
4.551,750000
4.652,760000
4.753,770000
4.854,780000
4.955,790000
5.055,800000
5.156,810000
5.257,820000
5.358,830000
5.459,840000
5.559,850000
5.66,860000
5.741,870000
5.842,880000
5.943,890000
6.043,900000
6.144,910000
6.245,920000
6.346,930000
6.447,940000
6.547,950000
6.648,960000
6.749,970000
6.85,980000
6.951,990000
7.051,1000000
7.152,1000000
7.253,1000000
7.354,1000000
7.455,1000000
7.555,1000000
7.656,1000000
7.757,1000000
7.858,1000000
7.959,1000000
8.059,1000000
8.16,1000000
8.241,1000000
8.342,1000000
8.442,1000000
8.543,1000000
8.644,1000000
8.745,1000000
8.846,1000000
8.947,1000000
9.047,0
9.148,10000
9.249,20000
9.35,30000
9.451,40000
9.551,50000
9.652,60000
9.753,70000
9.854,80000
9.954,90000
10.055,100000
10.156,110000
10.257,120000
10.358,130000
10.458,140000
10.559,150000
10.66,160000
10.741,170000
10.842,180000
10.942,190000
11.043,200000
11.144,210000
11.245,220000
11.345,230000
11.446,240000
11.547,250000
11.648,260000
11.749,270000
11.849,280000
11.95,290000
12.051,300000
12.152,310000
12.253,320000
12.353,330000
12.454,340000
12.555,350000
12.656,360000
12.756,370000
12.857,380000
12.958,390000
13.059,400000
13.16,410000
13.26,420000
13.341,430000
13.442,440000
13.543,450000
13.643,460000
13.744,470000
13.845,480000
13.946,490000
14.047,500000
14.148,510000
14.248,520000
14.349,530000
14.45,540000
14.551,550000
14.652,560000
14.752,570000
14.853,580000
14.954,590000
15.055,600000
15.156,610000
15.256,620000
15.357,630000
15.458,640000
15.559,650000
15.66,660000
15.76,670000
15.841,680000
15.942,690000
16.043,700000
16.143,710000
16.244,720000
16.345,730000
16.446,740000
16.546,750000
16.647,760000
16.748,770000
16.849,780000
16.95,790000
17.05,800000
17.151,810000
17.252,820000
17.353,830000
17.454,840000
17.554,850000
17.655,860000
17.756,870000
17.857,880000
17.957,890000
18.058,900000
18.159,910000
18.26,920000
18.342,930000
18.443,940000
18.544,950000
18.645,960000
18.746,970000
18.847,980000
18.947,990000
19.048,1000000
19.149,1000000
19.25,1000000
19.351,1000000
19.451,1000000
19.552,1000000
19.653,1000000
19.754,1000000
19.854,1000000
19.955,1000000
